,,,,12 Team,,,14 Team,10 Team,,AAV,Health Report,,
Rank,Name,Team,Pos,Fantrax,MFL,NFFC,MFL,MFL,NFFC,MFL,Status,Injury,fp_PPR
240,Jake Butt,FA,TE,-,-,241.08,-,-,-,-,,,
241,Andy Janovich,CLE,FB,-,-,241.09,-,-,-,-,,,
242,Blake Proehl,MIN,WR,-,-,241.09,-,-,-,-,IR,Leg,
243,Trevon Wesco,NYJ,TE,-,-,241.1,-,-,-,-,IR,Knee - MCL,
244,Marqise Lee,FA,WR,-,-,241.1,-,-,-,-,,,
245,Elijhaa Penny,NYG,FB,-,-,241.1,-,-,-,-,,,
246,Alex Erickson,CAR,WR,-,-,241.11,-,-,-,-,,,
247,Chris Streveler,FA,QB,-,-,241.11,-,-,-,-,,,
248,Dalton Keene,NE,TE,-,-,241.11,-,-,-,-,IR,Knee - Meniscus,
249,Javon Wims,LV,WR,-,-,241.11,-,-,-,-,,,
250,Antoine Wesley,ARI,WR,-,-,241.12,-,-,-,-,,,
251,Gabe Nabers,LAC,FB,-,-,241.12,-,-,-,-,,,
252,Brandon Zylstra,CAR,WR,-,-,241.12,-,-,-,-,,,
253,Alec Ingold,LV,FB,-,-,241.12,-,-,-,-,IR,Knee - ACL,
254,Johnny Mundt,LAR,TE,-,-,241.12,-,-,-,-,IR,Knee - ACL,
255,DeAndre Carter,WAS,WR,-,-,241.12,-,-,-,-,,,
256,Josh Hill,FA,TE,-,-,241.12,-,-,-,-,,,
257,Kyle Allen,WAS,QB,-,-,241.13,-,-,-,-,,,
258,Vyncint Smith,TB,WR,-,-,241.13,-,-,-,-,,,
259,Joe Reed,LAC,WR,-,-,241.13,-,-,-,-,,,
260,Austin Mack,SF,WR,-,-,241.15,-,-,-,-,,,
261,Tim Boyle,DET,QB,-,-,241.16,-,-,-,-,,,
262,Blake Bell,KC,TE,-,-,241.16,-,-,-,-,,,
263,C.J. Ham,MIN,FB,-,-,241.17,-,-,-,-,,,
264,Nick Westbrook-Ikhine,TEN,WR,-,-,241.17,-,-,-,-,,,
265,Brenden Knox,KC,RB,-,-,241.17,-,-,-,-,,,
266,Dax Milne,WAS,WR,-,-,241.19,-,-,-,-,,,
267,Marvin Hall,FA,WR,-,-,241.19,-,-,-,-,,,
268,Khari Blasingame,TEN,RB,-,-,241.19,-,-,-,-,,,
269,Isaiah Ford,MIA,WR,-,-,241.19,-,-,-,-,,,
270,Rico Dowdle,DAL,RB,-,-,241.2,-,-,-,-,IR,Hip,
271,Penny Hart,SEA,WR,-,-,241.2,-,-,-,-,,,
272,Kendall Hinton,DEN,WR,-,-,241.21,-,-,-,-,,,
273,Mack Hollins,MIA,WR,-,-,241.21,-,-,-,-,,,
274,Jeff Driskel,HOU,TE,-,-,241.21,-,-,-,-,IR,Collarbone,
275,T.J. Yeldon,FA,RB,-,-,241.23,-,-,-,-,,,
276,LeSean McCoy,FA,RB,-,-,241.23,-,-,-,-,,,
277,DaeSean Hamilton,DEN,WR,-,-,241.23,-,-,-,-,NFI-R,Knee - ACL,
278,Christian Blake,ATL,WR,-,-,241.23,-,-,-,-,,,
279,Trey Ragas,LV,RB,-,-,241.23,-,-,-,-,,,
280,Tanner Hudson,SF,TE,-,-,241.23,-,-,-,-,,,
281,Ben DiNucci,DAL,QB,-,-,241.24,-,-,-,-,,,
282,KeeSean Johnson,SF,WR,-,-,241.25,-,-,-,-,,,
283,Laquon Treadwell,JAX,WR,-,-,241.25,-,-,-,-,,,
284,Dontrell Hilliard,TEN,RB,-,-,241.25,-,-,-,-,,,
285,Brian Hoyer,NE,QB,-,-,241.25,-,-,-,-,,,
286,Robert Griffin,FA,QB,-,-,241.27,-,-,-,-,,,
